iter	Passed	Remaining
0	139	139426
1	140	70052
2	141	46920
3	142	35413
4	142	28435
5	143	23757
6	144	20439
7	145	17987
8	145	16068
9	147	14566
10	148	13336
11	149	12287
12	150	11399
13	150	10613
14	151	9943
15	152	9349
16	152	8826
17	153	8364
18	154	7951
19	154	7580
20	155	7243
21	155	6934
22	156	6664
23	157	6419
24	158	6189
25	159	5974
26	160	5774
27	161	5598
28	162	5436
29	163	5287
30	164	5146
31	165	5011
32	166	4886
33	167	4759
34	168	4639
35	169	4536
36	170	4438
37	171	4333
38	171	4231
39	172	4136
40	172	4044
41	173	3960
42	174	3880
43	175	3804
44	175	3730
45	176	3660
46	177	3594
47	177	3528
48	178	3463
49	178	3400
50	179	3339
51	179	3280
52	180	3224
53	180	3169
54	181	3116
55	181	3066
56	182	3017
57	182	2971
58	183	2926
59	184	2887
60	184	2847
61	185	2807
62	186	2769
63	186	2733
64	187	2698
65	188	2663
66	188	2630
67	189	2596
68	189	2563
69	190	2532
70	191	2502
71	191	2472
72	192	2443
73	193	2415
74	193	2388
75	194	2361
76	194	2336
77	195	2311
78	196	2287
79	196	2263
80	197	2240
81	198	2218
82	198	2193
83	199	2172
84	199	2151
85	200	2130
86	201	2109
87	201	2089
88	202	2069
89	202	2051
90	203	2032
91	204	2014
92	204	1997
93	205	1979
94	205	1961
95	206	1944
96	207	1927
97	207	1911
98	208	1894
99	208	1878
100	209	1862
101	209	1847
102	210	1832
103	211	1818
104	211	1803
105	212	1789
106	212	1775
107	213	1762
108	213	1749
109	214	1736
110	215	1723
111	215	1710
112	216	1697
113	216	1685
114	217	1673
115	217	1661
116	218	1648
117	218	1636
118	219	1625
119	220	1614
120	220	1603
121	221	1591
122	221	1580
123	222	1570
124	222	1560
125	223	1549
126	223	1539
127	224	1529
128	225	1519
129	225	1510
130	226	1501
131	226	1491
132	227	1482
133	227	1473
134	228	1464
135	229	1455
136	229	1448
137	230	1440
138	231	1434
139	232	1426
140	232	1418
141	233	1408
142	233	1400
143	234	1392
144	234	1384
145	235	1377
146	236	1369
147	236	1362
148	237	1354
149	237	1347
150	238	1339
151	238	1332
152	239	1325
153	239	1317
154	240	1310
155	241	1304
156	241	1298
157	242	1290
158	242	1284
159	243	1277
160	243	1269
161	244	1262
162	244	1256
163	245	1250
164	245	1244
165	246	1238
166	247	1232
167	247	1227
168	248	1221
169	249	1216
170	249	1211
171	250	1205
172	251	1200
173	251	1194
174	252	1189
175	252	1184
176	253	1178
177	254	1173
